Zakres, Czas trwania, Liczba iteracji
5000,1,1
10000,5,1
20000,19,1
5000,1,1
10000,6,1
20000,19,1
50000,122,1
100000,483,1
20,1,10000
50,1,10000
100,7,10000
50,0.0003,10000
100,0.0006,10000
20,6e-005,100000
10,5e-005,100000
20,4e-005,100000
100,0,100
500,0.01,100
100,0.01,100
500,0.01,100
1000,0.05,100
2000,0.21,100
2000,0.22,50
5000,1.22,50
10,0,1
20,0,1
50,0,1
100,0,1
500,0,1
1000,0,1
2000,1,1
5000,3,1
10000,12,1
20000,50,1
10,0,1
20,0,1
50,0,1
100,0,1
500,0,1
1000,0,1
2000,0,1
5000,2,1
10000,8,1
20000,34,1
50000,14693,1
