Zakres, Czas trwania, Liczba iteracji
10,0,1
20,0,1
50,1,1
100,1,1
200,1,1
300,2,1
400,2,1
500,2,1
600,3,1
700,3,1
800,4,1
900,4,1
10,0.01,100
20,0.0101,100
10,0,100
20,0.01,100
50,0.0101,100
100,0.010101,100
200,0.010101,100
300,0.010101,100
400,0.010101,100
500,0.010101,100
600,0.010101,100
700,0.00010101,100
800,0.010001,100
900,0.0101,100
10,0.01,100
20,0.01,100
50,0.01,100
100,0,100
200,0,100
300,0,100
400,0.01,100
500,0,100
600,0,100
700,0.01,100
800,0.01,100
900,0,100
10,0.01,100
20,0.01,100
50,0.01,100
10,0.01,100
20,0.01,100
50,0,100
100,0.01,100
200,0.01,100
300,0,100
400,0.01,100
500,0.01,100
600,0.01,100
700,0.01,100
800,0.02,100
900,0,100
10,0.01,100
20,0.01,100
50,0,100
100,0.01,100
200,0.01,100
300,0.01,100
400,0.01,100
500,0.01,100
600,0.01,100
700,0.01,100
800,0,100
900,0,100
