Zakres, Czas trwania, Liczba iteracji
1000000,459,1
300000,0.0395,2000
200000,0.034,2000
100000,0.0145,2000
50000,0.006,2000
20000,0.0025,2000
Zakres, Czas trwania, Liczba iteracji
1000000,447,1
900000,362,1
700000,219,1
500000,112,1
300000,40,1
200000,18,1
100000,5,1
50000,1,1
20000,0,1
10000,0,1
5000,0,1
2000,0,1
1000,0,1
500,0,1
100,0,1
50,0,1
10,0,1
10,0,10000
50,0,10000
100,0,10000
500,0,10000
1000,0.0003,10000
2000,0.0022,10000
10,0,100000
50,1e-005,100000
100,0,100000
500,0.00014,100000
10,0,150000
50,0,150000
100,6.66667e-006,150000
10,0,1e+006
50,3e-006,1e+006
