Zakres, Czas trwania, Liczba iteracji
1000000,0.33,100
900000,0.31,100
700000,0.27,100
500000,0.03,100
300000,0.15,100
200000,0.13,100
100000,0.08,100
50000,0.08,100
20000,0.07,100
10000,0.06,100
5000,0.06,100
2000,0.05,100
1000,0.05,100
500,0.06,100
100,0.05,100
50,0.05,100
10,0.06,100
500000,0.13,100
300000,0.14,100
200000,0.1,100
100000,0.07,100
50000,0.08,100
500000,0.216,500
300000,0.156,500
200000,0.11,500
100000,0.08,500
50000,0.068,500
20000,0.056,500
10000,0.058,500
5000,0.052,500
2000,0.054,500
1000,0.052,500
500,0.052,500
100,0.052,500
10000,0.06,100
5000,0.06,100
2000,0.05,100
1000,0.05,100
500,0.05,100
100,0.06,100
50,0.05,100
10,0.05,100
100000,0.092,1000
50000,0.067,1000
20000,0.062,1000
10000,0.056,1000
5000,0.052,1000
2000,0.052,1000
1000,0.053,1000
500,0.051,1000
100,0.052,1000
50,0.052,1000
10,0.053,1000
