Zakres, Czas trwania, Liczba iteracji
10000,0.4,10
Zakres, Czas trwania, Liczba iteracji
10,0,10
50,0,10
100,0,10
500,0,10
1000,0,10
2000,0,10
5000,0,10
10000,0,10
20000,0,10
50000,0,10
100000,0,10
200000,0,10
300000,0.1,10
500000,0,10
700000,0.2,10
900000,0.3,10
1000000,0.2,10
Zakres, Czas trwania, Liczba iteracji
10,0,10
50,0,10
100,0,10
500,0,10
1000,0,10
2000,0,10
5000,0,10
10000,0,10
20000,0,10
50000,0,10
100000,0,10
200000,0.1,10
300000,0,10
500000,0.1,10
Zakres, Czas trwania, Liczba iteracji
700000,0.2,10
10000,0.4,10
900000,0.2,10
1000000,0.1,10
